ClaimNum,CatastropheCode,RiskDescription, Claim Cost ,CurrencyDesc,LossDate
1234,2025 Feb flooding,Houseowners Combined,22549.66,PULA,2/19/2025
1235,2025 Feb flooding,Houseowners Combined,300000.00,PULA,2/19/2025
1236,2025 Feb flooding,Houseowners Combined,86243.50,PULA,2/19/2025
1237,2025 Feb flooding,Houseowners Combined,8901.06,PULA,2/21/2025
1238,2025 Feb flooding,Houseowners Combined,18055.13,PULA,2/19/2025
1239,2025 Feb flooding,Houseowners Combined,23770.00,PULA,2/19/2025
1240,2025 Feb flooding,Houseowners Combined,488260.34,PULA,2/20/2025
1241,2025 Feb flooding,Houseowners Combined,45725.58,PULA,2/19/2025
1242,2025 Feb flooding,Houseowners Combined,49468.40,PULA,2/19/2025
1243,2025 Feb flooding,Houseowners Combined,38208.93,PULA,2/19/2025
1244,2025 Feb flooding,Houseowners Combined,23834.80,PULA,2/20/2025
1245,2025 Feb flooding,Houseowners Combined,66231.00,PULA,2/19/2025
1246,2025 Feb flooding,Houseowners Combined,15289.15,PULA,2/19/2025
1247,2025 Feb flooding,Houseowners Combined,200000.00,PULA,2/19/2025
1248,2025 Feb flooding,Houseowners Combined,5802.00,PULA,2/20/2025
1249,2025 Feb flooding,Houseowners Combined,9356.86,PULA,2/19/2025
1250,2025 Feb flooding,Houseowners Combined,25019.00,PULA,2/19/2025
1252,2025 Feb flooding,Houseowners Combined,19140.44,PULA,2/19/2025
1253,2025 Feb flooding,Houseowners Combined,29150.44,PULA,2/19/2025
1254,2025 Feb flooding,Houseowners Combined,37514.00,PULA,2/19/2025
1255,2025 Feb flooding,Houseowners Combined,4250.00,PULA,2/20/2025
1256,2025 Feb flooding,Houseowners Combined,75689.54,PULA,2/19/2025
1257,2025 Feb flooding,Houseowners Combined,10361.55,PULA,2/19/2025
1258,2025 Feb flooding,Houseowners Combined,20250.00,PULA,2/19/2025
1259,2025 Feb flooding,Houseowners Combined,2772.00,PULA,2/19/2025
1260,2025 Feb flooding,Houseowners Combined,5950.20,PULA,2/19/2025
1261,2025 Feb flooding,Houseowners Combined,37060.95,PULA,2/19/2025
1262,2025 Feb flooding,Houseowners Combined,36174.03,PULA,2/19/2025
1263,2025 Feb flooding,Houseowners Combined,46939.38,PULA,2/19/2025
1264,2025 Feb flooding,Houseowners Combined,70487.00,PULA,2/19/2025
1265,2025 Feb flooding,Houseowners Combined,13427.40,PULA,2/19/2025
1268,2025 Feb flooding,Houseowners Combined,6668.00,PULA,2/19/2025
1269,2025 Feb flooding,Houseowners Combined,10202.88,PULA,2/19/2025
1271,2025 Feb flooding,Houseowners Combined,75627.20,PULA,2/19/2025
1272,2025 Feb flooding,Houseowners Combined,39010.97,PULA,2/19/2025
1273,2025 Feb flooding,Houseowners Combined,13450.00,PULA,2/21/2025
1275,2025 Feb flooding,Houseowners Combined,90208.92,PULA,2/19/2025
1277,2025 Feb flooding,Houseowners Combined,62047.43,PULA,2/19/2025
,,,,,
,,,,,
1279,2025 Feb flooding,Houseowners Combined,50917.26,PULA,2/19/2025
1280,2025 Feb flooding,Houseowners Combined,8144.75,PULA,2/20/2025
1281,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/20/2025
1283,2025 Feb flooding,Houseowners Combined,113838.08,PULA,2/20/2025
1284,2025 Feb flooding,Houseowners Combined,77476.10,PULA,2/20/2025
1285,2025 Feb flooding,Houseowners Combined,14413.20,PULA,2/20/2025
1286,2025 Feb flooding,Houseowners Combined,77303.00,PULA,2/19/2025
1287,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1289,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1290,2025 Feb flooding,Houseowners Combined,155389.87,PULA,2/19/2025
1292,2025 Feb flooding,Private Motor,156498.95,PULA,2/19/2025
1293,2025 Feb flooding,Private Motor,350000.00,PULA,2/20/2025
1294,2025 Feb flooding,Houseowners Combined,39916.05,PULA,2/19/2025
1296,2025 Feb flooding,Houseowners Combined,13695.00,PULA,2/19/2025
1301,2025 Feb flooding,Houseowners Combined,23591.00,PULA,2/19/2025
1302,2025 Feb flooding,Houseowners Combined,8589.45,PULA,2/19/2025
1303,2025 Feb flooding,Houseowners Combined,125265.00,PULA,2/19/2025
1304,2025 Feb flooding,Houseowners Combined,42670.90,PULA,2/19/2025
1305,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1306,2025 Feb flooding,Houseowners Combined,5436.80,PULA,2/19/2025
1308,2025 Feb flooding,Motor Specified Individual,141030.83,PULA,2/21/2025
1309,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1310,2025 Feb flooding,Houseowners Combined,10518.00,PULA,2/19/2025
1311,2025 Feb flooding,Houseowners Combined,40212.00,PULA,2/19/2025
1312,2025 Feb flooding,Houseowners Combined,22745.00,PULA,2/19/2025
1313,2025 Feb flooding,Houseowners Combined,525382.59,PULA,2/20/2025
1315,2025 Feb flooding,Houseowners Combined,17135.00,PULA,2/19/2025
1316,2025 Feb flooding,Accident Classes,350000.00,PULA,2/19/2025
1318,2025 Feb flooding,Private Motor,247765.01,PULA,2/20/2025
1319,2025 Feb flooding,Houseowners Combined,8531.47,PULA,2/19/2025
1320,2025 Feb flooding,Houseowners Combined,24017.50,PULA,2/19/2025
1321,2025 Feb flooding,Houseowners Combined,1545.95,PULA,2/19/2025
1322,2025 Feb flooding,Houseowners Combined,236941.66,PULA,2/19/2025
1323,2025 Feb flooding,Private Motor,33081.07,PULA,2/19/2025
1324,2025 Feb flooding,Private Motor,11389.52,PULA,2/19/2025
1325,2025 Feb flooding,Motor Scheme,350000.00,PULA,2/19/2025
1326,2025 Feb flooding,Houseowners Combined,18143.88,PULA,2/20/2025
1327,2025 Feb flooding,Plant All Risks,85726.00,PULA,2/21/2025
1330,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1331,2025 Feb flooding,Houseowners Combined,24704.00,PULA,2/19/2025
1332,2025 Feb flooding,Houseowners Combined,12367.35,PULA,2/19/2025
1334,2025 Feb flooding,Houseowners Combined,78350.98,PULA,2/19/2025
1335,2025 Feb flooding,Private Motor,437966.97,PULA,2/19/2025
1337,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1338,2025 Feb flooding,Houseowners Combined,5505.00,PULA,2/19/2025
1339,2025 Feb flooding,Houseowners Combined,33001.62,PULA,2/19/2025
1340,2025 Feb flooding,Houseowners Combined,7980.00,PULA,2/19/2025
1341,2025 Feb flooding,Houseowners Combined,21293.50,PULA,2/20/2025
1342,2025 Feb flooding,Houseowners Combined,23432.00,PULA,2/19/2025
1343,2025 Feb flooding,Houseowners Combined,186075.28,PULA,2/19/2025
1344,2025 Feb flooding,Houseowners Combined,94237.23,PULA,2/20/2025
1345,2025 Feb flooding,Houseowners Combined,197868.00,PULA,2/19/2025
1346,2025 Feb flooding,House Contents,25982.00,PULA,2/19/2025
1348,2025 Feb flooding,Houseowners Combined,69554.91,PULA,2/19/2025
1349,2025 Feb flooding,Houseowners Combined,5200.00,PULA,2/19/2025
1351,2025 Feb flooding,Houseowners Combined,54282.34,PULA,2/19/2025
1352,2025 Feb flooding,Motor Specified Individual,11500.00,PULA,2/21/2025
1353,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1355,2025 Feb flooding,Houseowners Combined,47612.00,PULA,2/19/2025
1356,2025 Feb flooding,Houseowners Combined,7925.00,PULA,2/19/2025
1357,2025 Feb flooding,Houseowners Combined,49225.73,PULA,2/20/2025
1358,2025 Feb flooding,Houseowners Combined,84122.50,PULA,2/19/2025
1359,2025 Feb flooding,Houseowners Combined,41368.62,PULA,2/19/2025
1360,2025 Feb flooding,Houseowners Combined,13325.00,PULA,2/20/2025
1361,2025 Feb flooding,Houseowners Combined,24831.00,PULA,2/19/2025
1362,2025 Feb flooding,Houseowners Combined,7755.44,PULA,2/21/2025
1364,2025 Feb flooding,Houseowners Combined,17465.56,PULA,2/19/2025
1365,2025 Feb flooding,Houseowners Combined,48497.30,PULA,2/19/2025
1367,2025 Feb flooding,Houseowners Combined,11350.00,PULA,2/19/2025
1369,2025 Feb flooding,Houseowners Combined,32512.94,PULA,2/19/2025
1371,2025 Feb flooding,Houseowners Combined,7753.30,PULA,2/19/2025
1372,2025 Feb flooding,House Contents,15432.61,PULA,2/19/2025
1373,2025 Feb flooding,Motor Specified Individual,389600.54,PULA,2/19/2025
1374,2025 Feb flooding,Houseowners Combined,8181.00,PULA,2/19/2025
1375,2025 Feb flooding,Houseowners Combined,16126.51,PULA,2/20/2025
1377,2025 Feb flooding,Houseowners Combined,8801.80,PULA,2/19/2025
1378,2025 Feb flooding,Houseowners Combined,13334.20,PULA,2/19/2025
1379,2025 Feb flooding,Houseowners Combined,25915.40,PULA,2/20/2025
1380,2025 Feb flooding,Houseowners Combined,14862.00,PULA,2/19/2025
1381,2025 Feb flooding,Private Motor,21556.50,PULA,2/19/2025
1382,2025 Feb flooding,Houseowners Combined,3179.10,PULA,2/20/2025
1383,2025 Feb flooding,Houseowners Combined,14358.85,PULA,2/19/2025
1384,2025 Feb flooding,Houseowners Combined,21955.44,PULA,2/19/2025
1385,2025 Feb flooding,Houseowners Combined,33777.00,PULA,2/19/2025
1386,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1387,2025 Feb flooding,Houseowners Combined,27951.55,PULA,2/19/2025
1388,2025 Feb flooding,Houseowners Combined,10680.77,PULA,2/19/2025
1389,2025 Feb flooding,Houseowners Combined,23640.83,PULA,2/21/2025
1390,2025 Feb flooding,House Contents,22762.00,PULA,2/19/2025
1391,2025 Feb flooding,Houseowners Combined,12765.00,PULA,2/19/2025
1392,2025 Feb flooding,Houseowners Combined,39377.20,PULA,2/21/2025
1393,2025 Feb flooding,Houseowners Combined,20445.00,PULA,2/20/2025
1394,2025 Feb flooding,Houseowners Combined,33864.18,PULA,2/19/2025
1395,2025 Feb flooding,Houseowners Combined,28726.52,PULA,2/21/2025
1396,2025 Feb flooding,Houseowners Combined,41451.85,PULA,2/19/2025
1397,2025 Feb flooding,Houseowners Combined,10500.00,PULA,2/19/2025
1398,2025 Feb flooding,Houseowners Combined,4747.40,PULA,2/19/2025
1399,2025 Feb flooding,Houseowners Combined,43700.96,PULA,2/19/2025
1400,2025 Feb flooding,Houseowners Combined,1799.96,PULA,2/19/2025
1401,2025 Feb flooding,Houseowners Combined,14042.33,PULA,2/19/2025
1402,2025 Feb flooding,Houseowners Combined,50805.00,PULA,2/20/2025
1403,2025 Feb flooding,Houseowners Combined,45691.00,PULA,2/19/2025
1404,2025 Feb flooding,Houseowners Combined,10716.40,PULA,2/19/2025
1405,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1406,2025 Feb flooding,Houseowners Combined,24806.60,PULA,2/19/2025
1407,2025 Feb flooding,Houseowners Combined,66090.70,PULA,2/19/2025
1408,2025 Feb flooding,Motor Specified Individual,6922.61,PULA,2/19/2025
1409,2025 Feb flooding,Houseowners Combined,20934.00,PULA,2/19/2025
1410,2025 Feb flooding,Houseowners Combined,76180.47,PULA,2/19/2025
1411,2025 Feb flooding,Houseowners Combined,22534.00,PULA,2/19/2025
1412,2025 Feb flooding,Houseowners Combined,58652.87,PULA,2/19/2025
1414,2025 Feb flooding,Accident Classes,52673.10,PULA,2/20/2025
1415,2025 Feb flooding,Houseowners Combined,17425.00,PULA,2/19/2025
1416,2025 Feb flooding,Houseowners Combined,12271.20,PULA,2/20/2025
1417,2025 Feb flooding,Motor Specified Individual,350000.00,PULA,2/21/2025
1418,2025 Feb flooding,Houseowners Combined,34167.38,PULA,2/20/2025
1419,2025 Feb flooding,Houseowners Combined,48253.33,PULA,2/19/2025
1420,2025 Feb flooding,Houseowners Combined,42606.30,PULA,2/19/2025
1421,2025 Feb flooding,Houseowners Combined,22492.00,PULA,2/19/2025
1422,2025 Feb flooding,Houseowners Combined,6400.00,PULA,2/21/2025
1423,2025 Feb flooding,Houseowners Combined,42945.31,PULA,2/19/2025
1424,2025 Feb flooding,Houseowners Combined,115852.00,PULA,2/19/2025
1425,2025 Feb flooding,Houseowners Combined,41721.80,PULA,2/19/2025
1427,2025 Feb flooding,Houseowners Combined,11953.10,PULA,2/21/2025
1428,2025 Feb flooding,House Contents,4300.08,PULA,2/19/2025
1429,2025 Feb flooding,Houseowners Combined,37109.50,PULA,2/19/2025
1431,2025 Feb flooding,Houseowners Combined,36424.61,PULA,2/19/2025
1432,2025 Feb flooding,Contractors All Risks,5908.95,PULA,2/21/2025
1433,2025 Feb flooding,Houseowners Combined,14855.40,PULA,2/19/2025
1434,2025 Feb flooding,Houseowners Combined,9677.20,PULA,2/19/2025
1435,2025 Feb flooding,Houseowners Combined,28148.80,PULA,2/19/2025
1437,2025 Feb flooding,Motor Specified Individual,16087.50,PULA,2/19/2025
1438,2025 Feb flooding,Houseowners Combined,29117.52,PULA,2/19/2025
1439,2025 Feb flooding,Houseowners Combined,46598.22,PULA,2/20/2025
1440,2025 Feb flooding,Private Motor,11700.00,PULA,2/19/2025
1442,2025 Feb flooding,Houseowners Combined,32589.07,PULA,2/19/2025
1443,2025 Feb flooding,Houseowners Combined,257810.96,PULA,2/19/2025
1447,2025 Feb flooding,Houseowners Combined,11773.08,PULA,2/19/2025
1448,2025 Feb flooding,Private Motor,26500.00,PULA,2/19/2025
1449,2025 Feb flooding,Houseowners Combined,5900.00,PULA,2/19/2025
1450,2025 Feb flooding,Private Motor,4335.39,PULA,2/21/2025
1451,2025 Feb flooding,Houseowners Combined,12931.59,PULA,2/19/2025
1452,2025 Feb flooding,Houseowners Combined,7800.00,PULA,2/20/2025
1453,2025 Feb flooding,Private Motor,35009.30,PULA,2/19/2025
1454,2025 Feb flooding,Houseowners Combined,49586.12,PULA,2/20/2025
1455,2025 Feb flooding,Houseowners Combined,12178.34,PULA,2/19/2025
1456,2025 Feb flooding,Houseowners Combined,56084.63,PULA,2/19/2025
1457,2025 Feb flooding,Houseowners Combined,125748.81,PULA,2/19/2025
1458,2025 Feb flooding,Houseowners Combined,146490.25,PULA,2/20/2025
1459,2025 Feb flooding,Houseowners Combined,34956.02,PULA,2/19/2025
1460,2025 Feb flooding,Houseowners Combined,12010.59,PULA,2/19/2025
1461,2025 Feb flooding,Houseowners Combined,71946.40,PULA,2/19/2025
1462,2025 Feb flooding,Houseowners Combined,50293.00,PULA,2/20/2025
1463,2025 Feb flooding,Houseowners Combined,21870.25,PULA,2/19/2025
1466,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1468,2025 Feb flooding,Houseowners Combined,26611.22,PULA,2/19/2025
1469,2025 Feb flooding,Houseowners Combined,23469.01,PULA,2/19/2025
1470,2025 Feb flooding,Houseowners Combined,5750.00,PULA,2/19/2025
1471,2025 Feb flooding,Houseowners Combined,9773.40,PULA,2/19/2025
1472,2025 Feb flooding,Motor Scheme,48300.00,PULA,2/19/2025
1473,2025 Feb flooding,Houseowners Combined,52636.13,PULA,2/19/2025
1474,2025 Feb flooding,Houseowners Combined,10174.00,PULA,2/19/2025
1475,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1476,2025 Feb flooding,Houseowners Combined,44382.00,PULA,2/19/2025
1478,2025 Feb flooding,Houseowners Combined,29240.00,PULA,2/19/2025
1479,2025 Feb flooding,Houseowners Combined,6600.00,PULA,2/19/2025
1480,2025 Feb flooding,Houseowners Combined,250669.74,PULA,2/19/2025
1481,2025 Feb flooding,Houseowners Combined,42240.82,PULA,2/19/2025
1482,2025 Feb flooding,Houseowners Combined,25707.00,PULA,2/19/2025
1484,2025 Feb flooding,Houseowners Combined,63806.53,PULA,2/19/2025
1485,2025 Feb flooding,Houseowners Combined,14755.94,PULA,2/19/2025
1486,2025 Feb flooding,Houseowners Combined,52865.37,PULA,2/19/2025
1487,2025 Feb flooding,Houseowners Combined,52140.84,PULA,2/20/2025
1488,2025 Feb flooding,Houseowners Combined,27933.00,PULA,2/20/2025
1489,2025 Feb flooding,Houseowners Combined,97145.00,PULA,2/19/2025
1490,2025 Feb flooding,Houseowners Combined,6288.54,PULA,2/20/2025
1491,2025 Feb flooding,Houseowners Combined,4675.09,PULA,2/19/2025
1492,2025 Feb flooding,Houseowners Combined,30249.80,PULA,2/19/2025
1494,2025 Feb flooding,Houseowners Combined,6462.12,PULA,2/19/2025
1495,2025 Feb flooding,Houseowners Combined,9500.00,PULA,2/19/2025
1497,2025 Feb flooding,Houseowners Combined,94433.80,PULA,2/19/2025
1498,2025 Feb flooding,Private Motor,66566.64,PULA,2/19/2025
1499,2025 Feb flooding,Houseowners Combined,15454.96,PULA,2/19/2025
1500,2025 Feb flooding,Houseowners Combined,5367.00,PULA,2/19/2025
1501,2025 Feb flooding,Assets All Risks,350000.00,PULA,2/19/2025
1502,2025 Feb flooding,Houseowners Combined,8585.61,PULA,2/20/2025
1503,2025 Feb flooding,Houseowners Combined,48646.95,PULA,2/19/2025
1504,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1505,2025 Feb flooding,Houseowners Combined,71468.53,PULA,2/19/2025
1506,2025 Feb flooding,Houseowners Combined,11586.00,PULA,2/19/2025
1507,2025 Feb flooding,Houseowners Combined,60296.31,PULA,2/19/2025
1508,2025 Feb flooding,Houseowners Combined,28650.00,PULA,2/19/2025
1509,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/20/2025
1510,2025 Feb flooding,Houseowners Combined,13050.00,PULA,2/19/2025
1511,2025 Feb flooding,Houseowners Combined,13479.83,PULA,2/19/2025
1512,2025 Feb flooding,Houseowners Combined,12410.00,PULA,2/19/2025
1513,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1514,2025 Feb flooding,Houseowners Combined,56718.69,PULA,2/19/2025
1515,2025 Feb flooding,Houseowners Combined,350000.00,PULA,2/19/2025
1516,2025 Feb flooding,Houseowners Combined,158067.72,PULA,2/19/2025
1517,2025 Feb flooding,Houseowners Combined,95366.10,PULA,2/19/2025
1518,2025 Feb flooding,Houseowners Combined,22680.00,PULA,2/19/2025
1519,2025 Feb flooding,Houseowners Combined,11596.81,PULA,2/19/2025
1520,2025 Feb flooding,Houseowners Combined,3180.00,PULA,2/19/2025
1521,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1522,2025 Feb flooding,Houseowners Combined,13585.00,PULA,2/19/2025
1523,2025 Feb flooding,Houseowners Combined,64054.00,PULA,2/19/2025
1524,2025 Feb flooding,Houseowners Combined,62739.69,PULA,2/19/2025
1525,2025 Feb flooding,Houseowners Combined,22106.88,PULA,2/19/2025
1526,2025 Feb flooding,Assets All Risks,2002745.94,PULA,2/19/2025
1527,2025 Feb flooding,Houseowners Combined,11018.82,PULA,2/19/2025
1528,2025 Feb flooding,"House Contents , Al Risks and Electronic Equipment",3698.57,PULA,2/19/2025
1529,2025 Feb flooding,Houseowners Combined,35206.98,PULA,2/19/2025
1530,2025 Feb flooding,Houseowners Combined,27626.03,PULA,2/19/2025
1532,2025 Feb flooding,Houseowners Combined,2250.00,PULA,2/19/2025
1533,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1534,2025 Feb flooding,Houseowners Combined,25565.00,PULA,2/20/2025
1535,2025 Feb flooding,Houseowners Combined,17983.49,PULA,2/19/2025
1536,2025 Feb flooding,Houseowners Combined,20517.30,PULA,2/19/2025
1537,2025 Feb flooding,Houseowners Combined,28170.23,PULA,2/20/2025
1538,2025 Feb flooding,Houseowners Combined,17436.00,PULA,2/20/2025
1539,2025 Feb flooding,Houseowners Combined,111765.60,PULA,2/20/2025
1540,2025 Feb flooding,Houseowners Combined,22972.29,PULA,2/19/2025
1541,2025 Feb flooding,Houseowners Combined,9029.25,PULA,2/19/2025
1542,2025 Feb flooding,Houseowners Combined,3995.00,PULA,2/21/2025
1543,2025 Feb flooding,Houseowners Combined,450000.00,PULA,2/19/2025
1544,2025 Feb flooding,Houseowners Combined,167210.00,PULA,2/21/2025
1545,2025 Feb flooding,Houseowners Combined,38171.00,PULA,2/20/2025
1546,2025 Feb flooding,Houseowners Combined,10762.00,PULA,2/19/2025
